id,topic,framing,headline,word_count,question_mark,exclamation_mark,positive_word_count,negative_word_count,average_word_length,sentiment_score
1,Environment,Neutral,New research examines the health effects of air pollution in cities,11,0,0,0,0,5.181818181818182,0.13636363636363635
2,Environment,Alarmist,Experts warn that air pollution in cities may pose a serious health threat,13,0,0,0,2,4.769230769230769,-0.3333333333333333
3,Environment,Positive,New research offers promising insights into the fight against urban air pollution,12,0,0,1,0,5.833333333333333,0.1090909090909091
4,Environment,Curiosity,What could new research reveal about the air we breathe in cities?,12,1,0,0,0,4.5,0.13636363636363635
5,Environment,Sensational,The hidden danger in city air that researchers are now uncovering,11,0,0,0,2,5.0,-0.16666666666666666
6,Artificial Intelligence,Neutral,Researchers examine how artificial intelligence is changing workplace tasks,9,0,0,0,0,7.444444444444445,-0.6
7,Artificial Intelligence,Alarmist,"AI could dramatically transform the way millions of people work, researchers warn",12,0,0,0,1,5.75,0.0
8,Artificial Intelligence,Positive,New AI developments could create new opportunities for workers,9,0,0,1,0,6.0,0.13636363636363635
9,Artificial Intelligence,Curiosity,What will artificial intelligence change about the way we work?,10,1,0,0,0,5.3,-0.6
10,Artificial Intelligence,Sensational,The AI revolution is coming for the workplace — and few may be ready,14,0,0,0,0,3.9285714285714284,0.0
11,Economy,Neutral,New data shows changes in household spending patterns,8,0,0,0,0,5.75,0.13636363636363635
12,Economy,Alarmist,Rising household costs are putting increasing pressure on consumers,9,0,0,0,1,6.555555555555555,0.0
13,Economy,Positive,New spending trends may offer signs of changing consumer behavior,10,0,0,0,0,5.6,0.13636363636363635
14,Economy,Curiosity,What do recent spending patterns reveal about households?,8,1,0,0,0,6.125,0.0
15,Economy,Sensational,The spending numbers that could change how we see the economy,11,0,0,0,0,4.636363636363637,0.0
16,Health,Neutral,Researchers study the relationship between sleep and cognitive performance,9,0,0,0,0,7.333333333333333,0.0
17,Health,Alarmist,Lack of sleep may be putting people's cognitive health at risk,11,0,0,0,1,4.7272727272727275,0.0
18,Health,Positive,New research provides encouraging insights into the benefits of healthy sleep,11,0,0,2,0,6.090909090909091,0.3181818181818182
19,Health,Curiosity,Could the way you sleep affect how your brain performs?,10,1,0,0,0,4.5,0.0
20,Health,Sensational,What scientists discovered about sleep could change your daily routine,10,0,0,0,0,6.1,0.0
21,Technology,Neutral,Researchers examine how social media recommendation systems affect users,9,0,0,0,0,7.111111111111111,0.03333333333333333
22,Technology,Alarmist,Social media algorithms may be influencing what millions of users see,11,0,0,0,0,5.363636363636363,0.03333333333333333
23,Technology,Positive,New research highlights potential benefits of more transparent recommendation systems,10,0,0,1,0,7.6,0.21212121212121213
24,Technology,Curiosity,How much do social media algorithms really shape what we see?,11,1,0,0,0,4.545454545454546,0.11666666666666667
25,Technology,Sensational,The algorithm deciding what you see may know more about you than you think,14,0,0,0,0,4.357142857142857,0.5
